#type	lbl	state	src	src_idx
rogue	dwarf	base	data/rogues_tiles/dwarf.png	0
rogue	elf	base	data/rogues_tiles/elf.png	0
rogue	ranger	base	data/rogues_tiles/ranger.png	0
rogue	rogue	base	data/rogues_tiles/rogue.png	0
rogue	bandit	base	data/rogues_tiles/bandit.png	0
rogue	knight	base	data/rogues_tiles/knight.png	0
rogue	male_fighter	base	data/rogues_tiles/male_fighter.png	0
rogue	female_knight	base	data/rogues_tiles/female_knight.png	0
rogue	female_knight_helmetless	base	data/rogues_tiles/female_knight_helmetless.png	0
rogue	shield_knight	base	data/rogues_tiles/shield_knight.png	0
rogue	monk	base	data/rogues_tiles/monk.png	0
rogue	priest	base	data/rogues_tiles/priest.png	0
rogue	female_war_cleric	base	data/rogues_tiles/female_war_cleric.png	0
rogue	male_war_cleric	base	data/rogues_tiles/male_war_cleric.png	0
rogue	templar	base	data/rogues_tiles/templar.png	0
rogue	schema_monk	base	data/rogues_tiles/schema_monk.png	0
rogue	elder_schema_monk	base	data/rogues_tiles/elder_schema_monk.png	0
rogue	male_barbarian	base	data/rogues_tiles/male_barbarian.png	0
rogue	male_winter_barbarian	base	data/rogues_tiles/male_winter_barbarian.png	0
rogue	female_winter_barbarian	base	data/rogues_tiles/female_winter_barbarian.png	0
rogue	swordsman	base	data/rogues_tiles/swordsman.png	0
rogue	fencer	base	data/rogues_tiles/fencer.png	0
rogue	female_barbarian	base	data/rogues_tiles/female_barbarian.png	0
rogue	female_wizard	base	data/rogues_tiles/female_wizard.png	0
rogue	male_wizard	base	data/rogues_tiles/male_wizard.png	0
rogue	druid	base	data/rogues_tiles/druid.png	0
rogue	desert_sage	base	data/rogues_tiles/desert_sage.png	0
rogue	dwarf_mage	base	data/rogues_tiles/dwarf_mage.png	0
rogue	warlock	base	data/rogues_tiles/warlock.png	0
rogue	farmer_wheat_thresher	base	data/rogues_tiles/farmer_wheat_thresher.png	0
rogue	farmer_scythe	base	data/rogues_tiles/farmer_scythe.png	0
rogue	farmer_pitchfork	base	data/rogues_tiles/farmer_pitchfork.png	0
rogue	baker	base	data/rogues_tiles/baker.png	0
rogue	blacksmith	base	data/rogues_tiles/blacksmith.png	0
rogue	scholar	base	data/rogues_tiles/scholar.png	0
rogue	peasant_coalburner	base	data/rogues_tiles/peasant_coalburner.png	0
rogue	peasant	base	data/rogues_tiles/peasant.png	0
rogue	shopkeep	base	data/rogues_tiles/shopkeep.png	0
rogue	elderly_woman	base	data/rogues_tiles/elderly_woman.png	0
rogue	elderly_man	base	data/rogues_tiles/elderly_man.png	0
animated-tile	brazier_unlit	0	data/animated-tiles_tiles/brazier_unlit_0.png	0
animated-tile	brazier_lit	0	data/animated-tiles_tiles/brazier_lit_0.png	0
animated-tile	brazier_lit	1	data/animated-tiles_tiles/brazier_lit_1.png	0
animated-tile	brazier_lit	2	data/animated-tiles_tiles/brazier_lit_2.png	0
animated-tile	brazier_lit	3	data/animated-tiles_tiles/brazier_lit_3.png	0
animated-tile	brazier_lit	4	data/animated-tiles_tiles/brazier_lit_4.png	0
animated-tile	brazier_lit	5	data/animated-tiles_tiles/brazier_lit_5.png	0
animated-tile	fire_pit_unlit	0	data/animated-tiles_tiles/fire_pit_unlit_0.png	0
animated-tile	fire_pit_lit	0	data/animated-tiles_tiles/fire_pit_lit_0.png	0
animated-tile	fire_pit_lit	1	data/animated-tiles_tiles/fire_pit_lit_1.png	0
animated-tile	fire_pit_lit	2	data/animated-tiles_tiles/fire_pit_lit_2.png	0
animated-tile	fire_pit_lit	3	data/animated-tiles_tiles/fire_pit_lit_3.png	0
animated-tile	fire_pit_lit	4	data/animated-tiles_tiles/fire_pit_lit_4.png	0
animated-tile	fire_pit_lit	5	data/animated-tiles_tiles/fire_pit_lit_5.png	0
animated-tile	torch_unlit	0	data/animated-tiles_tiles/torch_unlit_0.png	0
animated-tile	torch_lit	0	data/animated-tiles_tiles/torch_lit_0.png	0
animated-tile	torch_lit	1	data/animated-tiles_tiles/torch_lit_1.png	0
animated-tile	torch_lit	2	data/animated-tiles_tiles/torch_lit_2.png	0
animated-tile	torch_lit	3	data/animated-tiles_tiles/torch_lit_3.png	0
animated-tile	torch_lit	4	data/animated-tiles_tiles/torch_lit_4.png	0
animated-tile	torch_lit	5	data/animated-tiles_tiles/torch_lit_5.png	0
animated-tile	lamp_unlit	0	data/animated-tiles_tiles/lamp_unlit_0.png	0
animated-tile	lamp_lit	0	data/animated-tiles_tiles/lamp_lit_0.png	0
animated-tile	lamp_lit	1	data/animated-tiles_tiles/lamp_lit_1.png	0
animated-tile	lamp_lit	2	data/animated-tiles_tiles/lamp_lit_2.png	0
animated-tile	lamp_lit	3	data/animated-tiles_tiles/lamp_lit_3.png	0
animated-tile	fire	0	data/animated-tiles_tiles/fire_0.png	0
animated-tile	fire	1	data/animated-tiles_tiles/fire_1.png	0
animated-tile	fire	2	data/animated-tiles_tiles/fire_2.png	0
animated-tile	fire	3	data/animated-tiles_tiles/fire_3.png	0
animated-tile	fire	4	data/animated-tiles_tiles/fire_4.png	0
animated-tile	fire	5	data/animated-tiles_tiles/fire_5.png	0
animated-tile	small_fire	0	data/animated-tiles_tiles/small_fire_0.png	0
animated-tile	small_fire	1	data/animated-tiles_tiles/small_fire_1.png	0
animated-tile	small_fire	2	data/animated-tiles_tiles/small_fire_2.png	0
